ID1,Name1,Link 1,ID2,Name 2,Link 2,Checked,Duplicates
N_20073,Fu Jen Boys Middle School,https://data.chcdatabase.com/search?nodeSelect=N_20073,N_20075,Fu Jen Girls Middle School,https://data.chcdatabase.com/search?nodeSelect=N_20075,TRUE,FALSE
N_20075,Fu Jen Girls Middle School,https://data.chcdatabase.com/search?nodeSelect=N_20075,N_05668,Xun Girls Middle School,https://data.chcdatabase.com/search?nodeSelect=N_05668,TRUE,FALSE
N_00019,American School of Kikungshan,https://data.chcdatabase.com/search?nodeSelect=N_00019,N_00023,American School of Tenghsien,https://data.chcdatabase.com/search?nodeSelect=N_00023,TRUE,FALSE
N_00019,American School of Kikungshan,https://data.chcdatabase.com/search?nodeSelect=N_00019,N_04641,Swedish School of Kikungshan,https://data.chcdatabase.com/search?nodeSelect=N_04641,TRUE,FALSE
N_00141,Bowen Middle School,https://data.chcdatabase.com/search?nodeSelect=N_00141,N_00143,Boxue Middle School,https://data.chcdatabase.com/search?nodeSelect=N_00143,TRUE,FALSE
N_00141,Bowen Middle School,https://data.chcdatabase.com/search?nodeSelect=N_00141,N_00920,Cuiwen Middle School,https://data.chcdatabase.com/search?nodeSelect=N_00920,TRUE,FALSE
N_00945,Deji Middle School,https://data.chcdatabase.com/search?nodeSelect=N_00945,N_03139,Meili Middle School,https://data.chcdatabase.com/search?nodeSelect=N_03139,TRUE,FALSE
N_00945,Deji Middle School,https://data.chcdatabase.com/search?nodeSelect=N_00945,N_05673,Yali Middle School,https://data.chcdatabase.com/search?nodeSelect=N_05673,TRUE,FALSE
N_01043,Fenchow-foo Boys' Boarding School,https://data.chcdatabase.com/search?nodeSelect=N_01043,N_01044,Fenchow-foo Girls' Boarding School,https://data.chcdatabase.com/search?nodeSelect=N_01044,TRUE,FALSE
N_01044,Fenchow-foo Girls' Boarding School,https://data.chcdatabase.com/search?nodeSelect=N_01044,N_01049,Feng-chen Girls' Boarding School,https://data.chcdatabase.com/search?nodeSelect=N_01049,TRUE,FALSE
N_01048,Feng-chen Boys' Day School,https://data.chcdatabase.com/search?nodeSelect=N_01048,N_03735,Ping-yang Boys' Day School,https://data.chcdatabase.com/search?nodeSelect=N_03735,TRUE,FALSE
N_01049,Feng-chen Girls' Boarding School,https://data.chcdatabase.com/search?nodeSelect=N_01049,N_01061,Feng-cheng Boarding School,https://data.chcdatabase.com/search?nodeSelect=N_01061,TRUE,TRUE
N_01062,Feng-cheng Day School #1,https://data.chcdatabase.com/search?nodeSelect=N_01062,N_01063,Feng-cheng Day School #2,https://data.chcdatabase.com/search?nodeSelect=N_01063,TRUE,TRUE
N_01147,Fujiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01147,N_01178,Fuxiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01178,TRUE,FALSE
N_01147,Fujiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01147,N_01962,Huaying Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01962,TRUE,FALSE
N_01147,Fujiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01147,N_01996,Hun Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01996,TRUE,FALSE
