:ID,:LABEL,chcd_id,abbreviation,alternative_chinese_name_hanzi,alternative_chinese_name_romanized,alternative_name_western,baptism,baptismal_name_western,beatification,beatification_date,birth_day,birth_month,birth_place,birth_year,burial_place,cannonization_date,canonization,china_start,chinese_family_name_hanzi,chinese_family_name_romanized,chinese_given_name_hanzi,chinese_given_name_romanized,chinese_name_hanzi,chinese_name_romanized,christian_tradition,circulation,confirmation,corporate_entity_category,corporate_entity_subcategory,death_day,death_month,death_place,death_year,degree,embarkment,end_day,end_month,end_year,event_category,event_subcategory,family_name_western,format,gender,gender_served,given_name_western,institution_category,institution_subcategory,issue_frequency,latitude,longitude,name_rom,name_wes,name_western,name_zh,nationality,notes,occupation,ordination_archbishop,ordination_bishop,ordination_deacon,ordination_priest,other_abbreviation,price,publication_category,publication_language,publication_subcategory,religious_family,source,start_day,start_month,start_year,title,vestition
7364,Institution,N_01049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,; Female,,Education,School,,,,,,Feng-chen Girls' Boarding School ,,Unknown,,,,,,,,,,,,,,,,1905.0,,
7374,Institution,N_01062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education,School,,,,,,Feng-cheng Day School #1 ,,Unknown,,,,,,,,,,,,,,,,,,
7455,Institution,N_01147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,Education,School,,,,,,Fujiang Girls' High School,,Unknown,,,,,,,,,,,,,,,,,,
7455,Institution,N_01147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,Education,School,,,,,,Fujiang Girls' High School,,Unknown,,,,,,,,,,,,,,,,,,
7485,Institution,N_01178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,Education,School,,,,,,Fuxiang Girls' High School,,Unknown,,,,,,,,,,,,,,,,,,
7485,Institution,N_01178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,Education,School,,,,,,Fuxiang Girls' High School,,Unknown,,,,,,,,,,,,,,,,,,
7485,Institution,N_01178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,Education,School,,,,,,Fuxiang Girls' High School,,Unknown,,,,,,,,,,,,,,,,,,
7485,Institution,N_01178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,Education,School,,,,,,Fuxiang Girls' High School,,Unknown,,,,,,,,,,,,,,,,,,
7579,Institution,N_01489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,Education,School,,,,,,Hai-chow Boarding School for Boys ,,Unknown,,,,,,,,,,,,,,,,1906.0,,
7807,Institution,N_01726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,Education,School,,,,,,Hochow Boarding School for Boys ,,Unknown,,,,,,,,,,,,,,,,,,
8011,Institution,N_00485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,Education,School,,,,,,Chau-ch'eng Boarding School for Boys #1 ,,Unknown,,,,,,,,,,,,,,,,,,
8011,Institution,N_00485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,Education,School,,,,,,Chau-ch'eng Boarding School for Boys #1 ,,Unknown,,,,,,,,,,,,,,,,,,
8011,Institution,N_00485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,Education,School,,,,,,Chau-ch'eng Boarding School for Boys #1 ,,Unknown,,,,,,,,,,,,,,,,,,
8012,Institution,N_00486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,Education,School,,,,,,Chau-ch'eng Boarding School for Boys #2 ,,Unknown,,,,,,,,,,,,,,,,,,
8012,Institution,N_00486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,Education,School,,,,,,Chau-ch'eng Boarding School for Boys #2 ,,Unknown,,,,,,,,,,,,,,,,,,
8308,Institution,N_00788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education,School,,,,,,Chongying Middle School,,Unknown,,,,,,,,,,,,,,,,,,
8578,Institution,N_01962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,Education,School,,,,,,Huaying Girls' High School,,Unknown,,,,,,,,,,,,,,,,,,
8578,Institution,N_01962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,Education,School,,,,,,Huaying Girls' High School,,Unknown,,,,,,,,,,,,,,,,,,
8578,Institution,N_01962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,Education,School,,,,,,Huaying Girls' High School,,Unknown,,,,,,,,,,,,,,,,,,
8612,Institution,N_01996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,Education,School,,,,,,Hun Girls' High School,,Unknown,,,,,,,,,,,,,,,,,,
8612,Institution,N_01996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,Education,School,,,,,,Hun Girls' High School,,Unknown,,,,,,,,,,,,,,,,,,
8621,Institution,N_02005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,Education,School,,,,,,Hung-tung Day School for Boys #1 ,,Unknown,,,,,,,,,,,,,,,,,,
8612,Institution,N_01996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,Education,School,,,,,,Hun Girls' High School,,Unknown,,,,,,,,,,,,,,,,,,
9533,Institution,N_03592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,Education,School,,,,,,Pei Hua Girls High School,,Unknown,,,,,,,,,,,,,,,,,,
9980,Institution,N_02869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education,School,,,,,,Li-Hsien Middle School,,Unknown,,,,,,,,,,,,,,,,,,
10659,Institution,N_05247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education,School,,,,,,Tso-un Mixed Day School #1 ,,Unknown,,,,,,,,,,,,,,,,,,
10659,Institution,N_05247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Education,School,,,,,,Tso-un Mixed Day School #1 ,,Unknown,,,,,,,,,,,,,,,,,,
9533,Institution,N_03592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,Education,School,,,,,,Pei Hua Girls High School,,Unknown,,,,,,,,,,,,,,,,,,
